Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [SUSHI FUJI],Price [SUSHI FUJI],In stock [SUSHI FUJI],Low stock [SUSHI FUJI]
tempura-crevette-cheese-1,10095,Tempura crevette cheese,CALIFORNIA ROLLS ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,6.40,,
tempura-crevette-cheese-avocat,10074,Tempura crevette cheese avocat,SPRING ROLLS ( 6 PIÈCES),,N,,,,,,,0.00,,,,N,Y,6.60,,
tempura-crevette-cheese-avocat-1,10099,Tempura crevette cheese avocat,CALIFORNIA ROLLS ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,6.40,,
tempura-crevette-cheese-mangue,10075,Tempura crevette cheese mangue,SPRING ROLLS ( 6 PIÈCES),,N,,,,,,,0.00,,,,N,Y,6.60,,
tempura-crevette-cheese-mangue-1,10100,Tempura crevette cheese mangue,CALIFORNIA ROLLS ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,6.40,,
tempura-crevette-mangue,10065,Tempura crevette mangue,SPRING ROLLS ( 6 PIÈCES),,N,,,,,,,0.00,,,,N,Y,6.60,,
tempura-crevette-mangue-1,10088,Tempura crevette mangue,CALIFORNIA ROLLS ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,6.40,,
tempura-crevette-spicy,10059,Tempura crevette spicy,SPRING ROLLS ( 6 PIÈCES),,N,,,,,,,0.00,,,,N,Y,6.60,,
tempura-crevette-spicy-1,10089,Tempura crevette spicy,CALIFORNIA ROLLS ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,6.40,,
tempura-de-scampis-4pcs,10153,Tempura de scampis 4pcs,ENTRÉE,,N,,,,,,,0.00,,,,N,Y,7.50,,
thon,10001,Thon,SUSHI ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,2.20,,
thon-1,10026,Thon,MAKI ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,5.00,,
thon-2,10131,Thon,TULIPE ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,2.30,,
thon-(-6-pièces),10050,Thon ( 6 pièces),SASHIMI ( fines tranches de poisson cru ),,N,,,,,,,0.00,,,,N,Y,10.50,,
thon-avocat,10055,Thon avocat,SPRING ROLLS ( 6 PIÈCES),,N,,,,,,,0.00,,,,N,Y,6.40,,
thon-avocat-1,10077,Thon avocat,CALIFORNIA ROLLS ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,6.40,,
thon-classique,10124,Thon Classique,POKE BOWL,<p>( thon avocat mangue tomate-cerise oignon-frits edamame wakame sauce )</p>,N,,,,,,,0.00,,,,N,Y,14.80,,
thon-cuit-mayo-1,10037,Thon cuit mayo,MAKI ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,4.50,,
thon-cuit-mayo-2,10138,Thon cuit mayo,TULIPE ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,1.80,,
thon-mangue,10056,Thon mangue,SPRING ROLLS ( 6 PIÈCES),,N,,,,,,,0.00,,,,N,Y,6.40,,
thon-mangue-1,10080,Thon mangue,CALIFORNIA ROLLS ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,6.40,,
thon-mi-cuit,10009,Thon mi-cuit,SUSHI ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,2.50,,
thon-spicy,10029,Thon spicy,MAKI ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,5.20,,
thon-spicy-1,10057,Thon spicy,SPRING ROLLS ( 6 PIÈCES),,N,,,,,,,0.00,,,,N,Y,6.40,,
thon-spicy-concombre,10082,Thon spicy concombre,CALIFORNIA ROLLS ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,6.40,,
thon-cuit-mayo,10023,Thon-cuit mayo,TEMAKI( 1 PIÈCE ),<p>( Thon-cuit mayo concombre avocat oignon-frits )</p>,N,,,,,,,0.00,,,,N,Y,4.50,,
thon-cuit-mayo-concombre,10083,Thon-cuit mayo concombre,CALIFORNIA ROLLS ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,5.80,,
thon-cuit-mayo-mangue,10101,Thon-cuit mayo mangue,CALIFORNIA ROLLS ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,5.80,,
udon-au-boeuf,10161,Udon au boeuf,YAKI UDON ( NOUILLES JAPONAISES ),,N,,,,,,,0.00,,,,N,Y,12.00,,
udon-au-canard,10162,Udon au canard,YAKI UDON ( NOUILLES JAPONAISES ),,N,,,,,,,0.00,,,,N,Y,13.00,,
udon-au-poulet,10160,Udon au poulet,YAKI UDON ( NOUILLES JAPONAISES ),,N,,,,,,,0.00,,,,N,Y,11.00,,
veggie,10125,Veggie,POKE BOWL,<p>( oignon-frits avocat mangue tomate-cerise ma&iuml;s edamame salade-chou concombre inari takuan&nbsp;)</p>,N,,,,,,,0.00,,,,N,Y,11.80,,
wakamé,10020,Wakamé,GUNKAN ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,1.80,,
wakame-roll,10116,Wakame roll,SPÉCIAL ROLL ( 8 PIÈCES ),<p>( avocat surimi concombre takuan wakame )</p>,N,,,,,,,0.00,,,,N,Y,10.90,,
yakitori-brochette-boeuf-fromage-3pcs,10150,Yakitori brochette boeuf fromage 3pcs,ENTRÉE,,N,,,,,,,0.00,,,,N,Y,7.20,,
yakitori-brochettes-de-poulet-3pcs,10149,Yakitori brochettes de poulet 3pcs,ENTRÉE,,N,,,,,,,0.00,,,,N,Y,6.50,,
